Gene,exprs
GNPDA1,0.007103236
CDH3,0.194866578
HDAC6,-0.116966472
PARP2,0.626312736
MAMLD1,-0.741613893
DNAJB6,1.479203401
SMC4,0.547208883
ABCC5,0.297453048
ABCB6,-0.187973359
DNM1L,1.477112421
TSPAN3,0.902305326
KIF20A,0.161444588
ARL4C,2.254304023
TRAP1,0.113152705
G3BP1,0.345087153
MBNL2,1.178934721
CEBPZ,0.212101212
SLC25A13,0.876331495
CDK2,0.047266775
SORBS3,-0.713212627
RBM6,-0.128310895
CDK4,-0.14040331
TXNDC9,0.836406495
ADAM10,0.181009431
TRIM13,0.192567037
CDK6,0.188723819
CDK7,0.058003453
TRIB1,0.394589349
MFSD10,-0.237847511
SLC35B1,0.654104328
TIMM17B,0.034147037
CDKN1A,-0.523923854
CDKN1B,0.268199845
AKAP8,-0.131149044
STUB1,1.215407201
NET1,0.825434584
SMNDC1,0.159715033
CDKN2A,-0.132493742
PAK4,-0.297816142
TNIP1,-0.350050897
IKZF1,-0.046005941
HMG20B,-0.409622491
MYL9,0.31279883
LYPLA1,0.781209367
PPIE,0.486266254
VAV3,-0.423511634
LRRC41,0.372476968
CRTAP,-0.207130684
VAT1,-0.718152449
STK25,0.358132855
CEBPA,-0.056195205
APPBP2,0.459398478
CEBPD,-1.367002744
CHERP,0.238872877
HYOU1,-0.163279991
RPP38,0.634664044
SLC35A1,0.568262143
DRAP1,0.161761167
PAICS,0.527771566
ST6GALNAC2,-0.453930387
STAMBP,0.229330811
CENPE,0.534124739
NPRL2,0.195833926
IGF2BP2,-0.541509764
YKT6,-0.04497358
CGRRF1,0.44612001
RRAGA,0.359088238
GNB5,1.437008872
EBP,0.523275215
CNPY3,0.067396466
CETN3,0.121888835
YME1L1,0.319559965
TCFL5,0.312522635
KDM5B,0.588207434
POP4,0.727462773
ARPP19,3.068264853
ZNF274,0.075815529
MTHFD2,0.021393774
WASF3,-0.307802587
UTP14A,0.500861581
FRS2,-0.009662885
CLPX,0.458881484
PGRMC1,0.986295995
MALT1,-0.265072185
CPSF4,0.151122401
BLCAP,0.983706947
TCERG1,0.990402957
RNPS1,1.017769841
TOMM34,0.642748871
PDIA5,0.402948069
MLLT11,1.438078425
EBNA1BP2,1.622873254
TMED10,0.092681719
ASCC3,-0.077192162
SLC27A3,-0.056095409
KIF2C,-0.169471804
CCDC85B,0.297664783
TLK2,0.233258921
KDELR2,0.478003828
RAB31,-0.460368054
B4GAT1,0.732422133
UBE2C,-0.158852985
DUSP14,0.557030608
TOPBP1,0.548087698
PRSS23,-0.048601514
CHEK1,0.571727577
PWP1,0.639908825
PKIG,0.474771143
CORO1A,-0.349157344
LSM6,0.201769179
PSIP1,1.159109999
SLC2A6,-0.136301289
NISCH,-0.244830219
CHEK2,0.01049706
CHN1,1.089159318
PRAF2,0.144927358
POLG2,0.325852569
CHP1,1.006793669
PNKP,0.191676064
ECD,0.416083445
DDX42,0.70081475
TWF2,0.372419461
CIRBP,1.699827602
RPL39L,0.419086872
CLTB,-0.270089268
CLTC,0.831223376
CANT1,0.314485476
COL1A1,-0.684900812
ADH5,0.408738997
COL4A1,0.392887472
CREB1,-0.162894947
CRK,0.762098605
CRKL,0.294251618
PARP1,0.658753808
CRYZ,-0.073160023
CSK,-0.568354977
CSNK1A1,0.041628906
CSNK1E,-0.268122709
CSNK2A2,-0.147675718
CSRP1,-0.614102628
WIPF2,0.218264189
TICAM1,0.143714583
CTNND1,0.209964566
CTSD,-0.175304443
CTSL,0.071794435
CYB561,0.634152075
ADRB2,-0.338144518
DAG1,-0.057606643
DAXX,-0.266865309
DCK,1.176185039
DCTD,-0.023374251
DDB2,-0.451547395
GADD45A,1.469156749
DDX10,1.014816261
DECR1,0.153568459
DFFA,0.425463879
DFFB,-0.131401203
DLD,0.812230994
DNM1,-0.403326968
AGL,0.669885038
DNMT1,0.567206117
DNMT3A,0.975205227
DPH2,0.653009866
DSG2,-0.224623907
TSC22D3,0.44480245
DUSP3,-0.275811384
DUSP4,3.055587857
DUSP6,1.600428372
TOR1A,0.35521758
E2F2,0.05045712
ECH1,0.243691681
EDN1,-0.16823025
EGF,0.043771118
EGFR,-0.441866634
EGR1,2.268149377
EIF4EBP1,-0.044914793
EIF4G1,-0.366672835
EIF5,0.730460773
ELAVL1,0.59918127
TXLNA,0.400956582
SPRED2,0.232622504
CTTN,0.329643104
EPB41L2,0.456492643
EPHA3,0.108715076
EPHB2,0.470838294
NR2F6,0.244576849
ERBB2,-0.645628279
ERBB3,0.262265835
AKT1,-0.456409862
ETFB,0.259755552
ALAS1,1.364616898
ETS1,0.197738338
ETV1,0.858748933
EXT1,0.721163075
EZH2,0.605977835
FAH,-0.168007741
PTK2B,-1.071589964
FAT1,-0.059503987
FDFT1,0.620635838
ALDOA,-0.61238225
FGFR2,0.156384005
FGFR4,-0.626172732
FHL2,1.378262021
CASC3,-0.533955585
COG2,-0.014015974
ATF5,0.388487941
MTF2,1.073873007
PUF60,0.355882545
RAB11FIP2,0.926395872
FKBP4,1.079500301
CLSTN1,-0.615414619
FOXJ3,0.507658838
EPN2,-0.102289958
SACM1L,0.834673061
ATF6,0.623533234
RPIA,0.164508642
ABCF1,0.422124464
ALDOC,-1.278998255
RAB21,0.595595233
SPEN,-0.390412333
FBXO21,0.294814524
RBM34,0.311796069
WDTC1,-0.741745795
XPO7,1.314403075
TBC1D9B,0.085636695
RRP1B,0.431699882
MYCBP2,0.931731614
FOXO3,-0.202676804
CDK19,0.530256797
GPATCH8,-0.309087719
MAST2,-0.159247944
DCUN1D4,0.180836536
FCHO1,-0.346039201
SNX13,0.414981815
ATP11B,0.385037079
JMJD6,0.20352934
RRS1,0.227255788
RRP12,0.155078
SYNE2,-0.202118881
PDS5A,-0.196899268
CAMSAP2,0.878867955
ATMIN,-0.040914314
TRIM2,0.520209009
USP22,0.119970793
WDR7,0.710451941
JADE2,-0.291332758
ARHGEF12,0.20760554
PPP1R13B,0.049245046
RRP8,0.065363957
NUDCD3,0.169568919
SIRT3,0.421502439
SLC35A3,0.481943304
ICMT,-0.049185095
MACF1,0.308042091
SUZ12,-0.504802989
KAT6B,-0.109868658
FOS,0.034759812
NNT,1.364587062
ADAT1,0.680374072
FPGS,0.054179881
TMEM50A,0.300980049
KLHDC2,0.808524747
ACOT9,-0.170618777
SSBP2,0.132672625
NUP62,0.124777107
ARFIP2,0.007115414
