SMILES,value
COC1=CC2=C(C=C1)NC=C2C(=O)CCl,1
CC(C)S(=O)(=O)C1=NN=C(C=C1)NCCC2=CNC3=C2C=C(C=C3)OC,1
COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC=C3)C4=CC(=CC=C4)OC,1
COC1=CC(=CC(=C1)CNCCC2=CNC3=CC=CC=C32)OC.C(=O)(C(=O)O)O,1
CC1=CC=CC=C1C2=NC=CC(=N2)NCCC3=CNC4=C3C=C(C=C4)OC,1
CC1=CC2=C(C=C1)NC=C2CCNC(=O)C3=CC=CS3,1
COC1=CC=CC(=C1)CNCCC2=CNC3=CC=CC=C32,1
CCOC(=O)C1=CNC2=C(C1=O)C=C(C=C2)OC,1
COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC4=CC=CC=C43)C5=CC=CC=C5OC,1
COC1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)NC(=O)C3=CC=CC=C3Br,1
CC1=CC(=CC(=C1)NC(=O)C(=O)NCCC2=CNC3=CC=CC=C32)C,1
CN(C)C1=CC=C(C=C1)C2=CN=CN=C2NCCC3=CNC4=C3C=C(C=C4)OC,1
COC1=C(C=CC(=C1)SC)C(=O)NCCC2=CNC3=CC=CC=C32,1
C1=CC=C2C(=C1)C(=CN2)CCNC(=O)OCCCCOC(=O)NCCC3=CNC4=CC=CC=C43,1
CC1=CC2=C(C=C1)NC=C2CCNC(=O)C3=CC4=C(C=C3)OCO4,1
COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC4=CC=CC=C43)C5=CN=CC=C5,1
COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC4=CC=CC=C43)C5=COC=C5,1
COC1=CC(=CC(=C1OC)OC)NC2=CC=CC=C2C(=O)NCCC3=CNC4=CC=CC=C43,1
CC1=CC(=C(C=C1)C(=O)NCCC2=CNC3=CC=CC=C32)C,1
COC1=CC2=C(C=C1)NC=C2CCNC(=O)[C@H](CC3=CC=NC=C3)NC(=O)[C@H](CC4=CC=C(C=C4)Cl)NC(=O)[C@H](CC5=CNC6=C5C=C(C=C6)O)NC(=O)CCCN,1
C1=CC=C2C(=C1)C(=CN2)CCNC(=O)COC(=O)C3=CC=CC=C3C(=O)OCC(=O)NCCC4=CNC5=CC=CC=C54,1
COC1=CC2=C(C=C1)NC=C2/C=C/C(=O)C3=CC=CC=C3,1
COC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)NCCC2=CNC3=CC=CC=C32,1
