SMILES,value
C1=CC(=CC=C1CCOC2=CC3=C(C=C2)NC=C3CCN)O.Cl,1
COC1=C(C=C(C=C1)C(=O)N/C(=C\C2=CC=CC3=CC=CC=C32)/C(=O)NCCC4=CNC5=CC=CC=C54)OC,1
C1=CC=C2C(=C1)C(=CN2)CCNC(=O)OCCSS(=O)(=O)[O-].[Na+],1
CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O,1
C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O,1
CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)OC)NS(=O)(=O)C3=C(C=C(C=C3)OC)OC,1
COC1=CC=CC(=C1OCC2=CC=CC=C2F)CNCCC3=CNC4=CC=CC=C43.Cl,1
COC1=CC2=C(C=C1)OC(=O)C(=C2)C(=O)NCCC3=CC(=C(C=C3)OC)OC,1
CCOC(=O)/C(=C/C1=CNC2=CC=CC=C21)/NC(=O)C,1
CC(=O)NC1=CC=C(C=C1)OCC(=O)NCCC2=CC=CC=C2,1
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)CCC2=CNC3=CC=CC=C32,1
COCCNC(=O)C1=CC2=C(O1)N=C3C=C(C=CC3=C2)OC,1
COC1=CC=C(C=C1)/C=C/C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)N,1
CNC(=O)C1=CC2=C(C=C(C=C2)OC)OC1=O,1
CC(C)C(CC(=O)NCCC1=CC(=C(C=C1)OC)OC)NS(=O)(=O)C2=CC=C(C=C2)OC,1
COC1=CC2=C(C=C1)NC(=C2)C(=O)N/N=C/C3=CC=CC=C3OC,1
COC1=CC2=C(C=C1)NC(=C2)C(=O)N/N=C/C3=CC(=C(C(=C3)OC)OC)OC,1
CCOC(=O)C1=CC2=C(C=C(C=C2)OC)OC1=O,1
COC1=CC2=C(C=C1)NC(=C2)C(=O)N/N=C/C3=C(C=C(C=C3)O)O,1
CCN\1C2=C(C=CC(=C2)OC)S/C1=C\C(=O)C,1
COCCC1=CC=C(C=C1)OCC2=CC(=CC=C2)C3=CC=C(C=C3)C(=O)NNC(=O)C(=O)C4=CNC5=CC=CC=C54,1
COC1=CC2=C(C=C1)NC(=C2)C(=O)N/N=C/C3=CC(=C(C=C3)OC)O,1
COC1=CC2=C(C=C1)C(=CO2)CC(=O)OCC(=O)NC3=C(C=C(C=C3)OC)OC,1
C/C(=N\NC(=O)CNC(=O)C1=CC=CO1)/C2=C(C=C(C=C2)OC)OC,1
COC1=CC=CC(=C1)C(=O)NC2=CC=CC3=CC=CC=C32,1
