SMILES,value
COC1=CC2=C(C=C1)NC=C2C(=O)CCl,1
CC1=CC(=C(C=C1)C(=O)NCCC2=CNC3=CC=CC=C32)C,1
COC1=CC=C(C=C1)C(=O)C2=CNC3=CC=CC=C32,1
CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC.C(=C\C(=O)O)\C(=O)O,1
CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,1
CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,1
CCCCNC(=O)C1=CC=C(C=C1)CN2C(=O)C3=C(C4=C(N3)C=CC(=C4)OC)NC2=S,1
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,1
CC(CC1=CNC2=C1C=C(C=C2)OCC3=CC=CS3)N,1
COC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)NC=C3,1
CC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,1
C1=CC=C2C(=C1)C(=CN2)CCNC3=C4C=CC=CC4=NC5=CC=CC=C53,1
COC1=CC=C(C=C1)C2C(C(=NN2C(=O)CCl)C3=CNC4=CC=CC=C43)O,1
COC1=CC2=C(C=C1)C=C(C=C2)CC(=O)O,1
CC(=O)NC1=CC2=C(C=C1)C(=CC(=O)O2)CNC3=CC=C(C=C3)OC,1
COC1=CC=C(C=C1)N(CC2=CC(=O)NC3=CC=CC=C32)C(=O)CCl,1
CC1=NC(=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)OC,1
CC1=C(C=C(C=C1)N(C)S(=O)(=O)C2=CC3=C(C=C2)NC=C(C3=O)C(=O)NCCOC)C,1
COC1=CC=C(C=C1)C(=O)NC2=CC(=CC=C2)OC,1
COC1=CC2=C(C=C1)NC3=C2N=CN=C3NCCC4=CCCCC4,1
CC(C)SC1=NC2=C(C3=C(N2)C=CC(=C3)OC)N=N1,1
COC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)NN=C3,1
COC1=CC(=C(C=C1)O)C(=O)CC(=O)C2=CC=C(C=C2)F,1
CC1=CC(=C2C=C(C=CC2=N1)OC)NC3=CC=C(C=C3)C(=O)O,1
CC1=C(OC2=C1C=C(C=C2)OC)C(=O)NC3=NC4=CC=CC=C4N3,1
COCCNC(=O)C1=CNC2=C(C1=O)C=C(C=C2)S(=O)(=O)N3CCC4=CC=CC=C43,1
CN(C)C1=CC=C(C=C1)C2=C(C3=C(S2)C=CC(=C3)OC)C(=O)OC,1
C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,1
COC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)OC,1
COC1=CC2=C(C=C1)C=C(C=C2)C3=NC4=CC=CC=C4C(=C3)C(=O)O,1
CC1=CC2=NN(N=C2C=C1NC(=O)C)C3=CC=C(C=C3)OC,1
CC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=C(C=C3)OC,1
CCOC1=CC=C(C=C1)NC(=O)C,1
CC1=C(OC2=C1C=C(C=C2)OC)C(=O)NC3=CC=CC=N3,1
CC1=C(OC2=C1C=C(C=C2)OC)C(=O)NC3=NN=C(S3)C,1
