SMILES,value
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)NCCC2=CC=C(C=C2)OC)Cl)Cl,1
COC1=CC2=C(C=C1)C=C(C=C2)C3=CC3=O,1
COC1=CC=C(C=C1)CNC(=O)C2=CC=CC(=N2)C3=CC4=C(C=C3)C(=C(C=C4)O)C=O,1
CC(=O)NCCSC1=CC=C(C2=NON=C12)[N+](=O)[O-],1
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)NCCC2=CC(=C(C=C2)OC)OC)Cl)Cl,1
COCCNC(=O)C1=CC=CC(=C1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O,1
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)NCCC2=CC(=C(C=C2)O)OC)Cl)Cl,1
COCCNC(=O)C1=CC=C(C=C1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O,1
COC1=CC=C(C=C1)C2CC2NC3CCNCC3,1
COCCNC(=O)C1=CC=CC(=N1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O,1
CC1=C(SC(=N1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O)C(=O)NCCOC,1
CC(=C)C(=O)C1=C(C=C(C=C1)OCC2=NC(=NO2)C3=CC=CC=C3)Br,1
COCCNC(=O)C1=CC=C(S1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O,1
CC1=NOC(=N1)COC2=CC(=C(C=C2)C(=O)C(=C)C)Br,1
CC1=C(C=CC(=C1)C2=CN=C3N2N=C(C=C3NCCC(F)(F)F)C(=O)C4=CC=C(C=C4)OC)C(=O)NC5CC5,1
CC(=C)C(=O)C1=C(C=C(C=C1)OCC2=NC(=NO2)C3=CC=C(C=C3)F)Br,1
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)N(C)CCC2=CC=C(C=C2)OC)Cl)Cl,1
CC(=O)OC1=CC2=C(C=C1)C3(C4=C(C=C(C=C4)CCl)C(=O)O3)C5=C(O2)C=C(C=C5)OC(=O)C,1
COC1=CC=C(C=C1)C2CC2NC3CCC(CC3)N,1
CC1=C(C=CC(=C1)C2=CN=C3N2N=C(C=C3NCCC(F)(F)F)C(C4=CC=C(C=C4)OC)(F)F)C(=O)NC5CC5,1
COCCNCCNC(=O)C1=NC=C(C=C1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O,1
CC1=C(C=CC(=C1)C2=CN=C3N2N=C(C=C3NCCC(F)(F)F)C(=C)C4=CC=C(C=C4)OC)C(=O)NC5CC5,1
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC2=NC(=NO2)C3=CC=C(C=C3)OC)Cl)Cl,1
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)NCCC2=CC=CC=C2)Cl)Cl,1
CC1=C(C=CC(=C1)C2=CN=C3N2N=C(C=C3NCCC(F)(F)F)C(=O)C4=CC(=CC=C4)OC)C(=O)NC5CC5,1
